"TL","Territory level and Typology","REG_ID","Region","VAR","Indicator","POS","Position","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"2","Large regions (TL2)","PE06","Cajamarca","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2006","2006",,,"0","Units",,,88.24,,
"2","Large regions (TL2)","PE09","Huancavelica","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,76.95,,
"2","Large regions (TL2)","PE15","Lima","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,87.74,,
"2","Large regions (TL2)","PE10","Huánuco","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2000","2000",,,"0","Units",,,74.73,,
"2","Large regions (TL2)","PE14","Lambayeque","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,84.53,,
"2","Large regions (TL2)","PE20","Piura","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,85.32,,
"2","Large regions (TL2)","PE25","Ucayali","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2000","2000",,,"0","Units",,,75.39,,
"2","Large regions (TL2)","PE12","Junín","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2000","2000",,,"0","Units",,,81.71,,
"2","Large regions (TL2)","PE18","Moquegua","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2000","2000",,,"0","Units",,,88.54,,
"2","Large regions (TL2)","PE01","Amazonas (PE)","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2000","2000",,,"0","Units",,,78.53,,
"2","Large regions (TL2)","PE09","Huancavelica","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2001","2001",,,"0","Units",,,74.67,,
"2","Large regions (TL2)","PE10","Huánuco","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,78.34,,
"2","Large regions (TL2)","PE16","Loreto","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,75,,
"2","Large regions (TL2)","PE24","Tumbes","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,85.47,,
"2","Large regions (TL2)","PE02","Áncash","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2011","2011",,,"0","Units",,,83.21,,
"2","Large regions (TL2)","PE21","Puno","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2001","2001",,,"0","Units",,,84.72,,
"2","Large regions (TL2)","PE21","Puno","VOTERS_RA","Voters Turnout to General Elections (in % of registered voters who voted)","ALL","All regions","2000","2000",,,"0","Units",,,84.91,,
